Action,Actie
Add Category,Voeg categorie toe
Add Comment,Voeg reactie toe
Add Post,Voeg blogbericht toe
Advanced Options,Geavanceerde instellingen
Advanced Post Options,Geavanceerde blogberichtinstellingen
"If enabled, all comments appear immediately without admin approval.","Alle reacties zullen direct getoond worden zonder goedkeuring door een admin."
"An error occured. Please try again","Er trad een fout op. Probeer a.u.b. opnieuw"
Approve,Goedkeuren
Approved,Goedgekeurd
"Are you sure?","Weet u het zeker?"
Auto Approve Comments,Automatisch goedkeuren reacties
Blog,Blog
Blog,Blog
Blog Comment Manager,Beheer blogreacties
Blog Manager,Beheer blog
Blog Post Manager,Beheer blogreacties
Blog Post Options,Blogberichtinstellingen
Blog Settings,Bloginstellingen
Blog Title,Blogtitel
By,door
Categories,Categorieën
Category,Categorie
Category Comment Manager,Categorie reactiebeheer
Category does not exist,Categorie bestaat niet
Category Information,Categoriegegevens
Category Manager,Categoriebeheer
Change status,Wijzig status
click here,klik hier
Comment,Reactie
Comment Information,Reactiegegevens
Comment Manager,Reactiebeheer
Comments are Closed for this post,Reacties zijn gesloten voor dit blogbericht
Comments are not enabled.,Reacties zijn niet ingeschakeld
Comments,Reacties
Comments,Reacties
Comments per Page,Reacties per pagina
Comment Submitted,Reactie verzonden
Comment was approved,Reactie is goedgekeurd
Comment was successfully deleted,Reactie is succesvol verwijderd
Comment was successfully saved,Reactie is succesvol opgeslagen
Comment was unapproved,Reactie is afgekeurd
Content,Inhoud
Created at,Aangemaakt op
Created,Aangemaakt
Created on,Aangemaakt op
CSV,CSV
Date Format,Datumformaat
Delete Category,Verwijder categorie
Delete Comment,Verwijder reactie
Delete,Verwijder
Delete Post,Verwijder blogbericht
Description,Omschrijving
Disabled,Uitgeschakeld
Duplicate Post,Dubbel blogbericht
"Edit Category  '%s'","Bewerk categorie  '%s'"
"Edit Comment By '%s'","Bewerk reactie van '%s'"
Edit,Bewerk
"Edit Post '%s'","Bewerk blogbericht '%s'"
"Must NOT contain any slashes. ""news"" makes the blog accessible from domain.com/news. Leave blank for default value.","Bijv. ""nieuws"" zal de blog beschikbaar maken onder domein.nl/nieuws. Mag geen slashes bevatten. Laat leeg voor standaardinstelling"
Email Address,E-mailadres
Email,E-mail
Email Sender,E-mailverzender
Email Template,E-mailtemplate
Enable Blog RSS Feed,Schakel Blog RSS Feed in
Enable Categories Menu,Schakel categoriemenu in
Enable Comments,Schakel reacties in
Enable Comments,Schakel reacties in
Enabled,Ingeschakeld
Enable,Ingeschakeld
Enable Footer Link,Schakel voettekstlink in
Enable Left Menu,Schakel linkermenu in
Enable ReCAPTCHA,Schakel ReCAPTCHA in
Enable Right Menu,Schakel rechtermenu in
Enable Top Link,Schakel toplink in
Error during generation sitemap,Fout ontstaan tijdens het genereren van de sitemap
Frequency,Frequentie
Full,Volledig
Google Sitemap,Google Sitemap
"Go to <a href=""http://www.google.com/recaptcha/whyrecaptcha"">http://www.google.com/recaptcha/whyrecaptcha</a> to get keys","Ga naar <a href=""http://www.google.com/recaptcha/whyrecaptcha"">http://www.google.com/recaptcha/whyrecaptcha</a> om de keys te verkrijgen"
Hidden,Verborgen
Home,Home
Identifier,Alias
ID,ID
"If enabled, additional ""Short Content Field"" is taken instead of truncated main post.","Indien ingeschakeld zal een ingevuld ""korte inhoudsveld"" worden gebruikt in plaats van een afgebroken hoofdblogbericht."
Keywords,Sleutelwoorden
Latest Posts,Recente blogberichten
Logged in Auto Approve Comments,Auomatisch goedkeuren van reacties door ingelogde gebruikers
Login Required to Comment,Het is verplicht om in te loggen om te kunnen reageren
Long,Lang
Medium,Middelgroot
Menus and Links,Menu's en Links
Meta Data,Metadata
Meta Description,Metaomschrijving
Meta Keywords,Metasleutelwoorden
Name,Naam
Newer Posts,Nieuwere blogberichten
No,Nee
"No Posts in this Category.","Geen blogberichten in deze categorie."
"Number of characters in a post to be displayed before it is truncated and the Read More link is added. 0 for unlimited.","Het aantal karakters in een blogbericht om te tonen voordat het wordt afgebroken en de lees meer link wordt getoond. Gebruik 0 voor onbeperkt."
"Number of post to display in the RSS feed.","Aantal blogberichten te tonen in de RSS feed."
Older Posts,Oudere blogberichten
Only comments added by logged in users will be approved automatically,Alleen reacties die gemaakt zijn door gebruikers die zijn ingelogd zullen automatisch worden goedgekeurd.
Page Layout,Paginalayout
Parse CMS Tags in Post Contents,Verwerk CMS tags in blogberichtinhoud
Please select categories,Selecteer a.u.b. categorieën
