"Wechat Payment(Native) by Alipaymate.com","微信扫码支付 (Alipaymate.com)"
"Wexin PC Payment (Native) - by Alipaymate.com","微信PC扫码支付 - by Alipaymate.com"
"Tenpay","财付通"
"Enabled","启用"
"Title","标题"
"Merchant ID","商户号"
"10 digits Partner ID.","10位数字"
"Key","密钥"
"Should be 32 characters.","32个字符"
"Log","日志"
"Debug","调试"
"Repay","重新支付"
"Payment to applicable countries","从可接受的国家支付"
"Payment to Specific countries","从指定的国家支付"
"Sort order","排序"
"Payment successful","支付成功"
"Redirect to Tenpay","去微信付款"
"You will be redirected to the Tenpay ...","正在跳转到微信支付中心。。。"
"WeChat","微信"
"WeChat Payment","微信支付"
"Tenpay Payment","财付通支付"
"Please install CNY currency","请安装CNY货币"
"Order status when payment accepted","支付成功后的订单状态"
"Locate payment problem quickly, it is recommended to enable the log","可快速定位支付异常问题，建议总是启用日志"
"Show WeChat Logo","显示微信支付Logo"
"Show WeChat logo on payment methods section","选择支付方式时，显示微信支付Logo图片"
"Enable Repay","启用重新支付"
"Customers can re-pay unsuccessful orders","客户可以重新支付未成功的订单"
